IMname,Category,Energy,Frequency
1,1,4.74E+11,1
1,1,31304734183,2
1,1,17110979051,3
1,1,6793997665,4
1,1,3397962914,5
1,1,1464753523,6
1,1,1199685515,7
1,1,572462139.5,8
1,1,327671029.8,9
1,1,436232301.6,10
1,1,188097700.8,11
1,1,166049430.2,12
1,1,248298385.7,13
1,1,132686644.2,14
1,1,105790868.2,15
1,1,73552375.69,16
1,1,54385964.88,17
1,1,75633159.66,18
1,1,69981850.68,19
1,1,66939486.14,20
1,1,33704801.85,21
1,1,31027623.07,22
1,1,26120967.62,23
1,1,22009467.58,24
1,1,15693934.17,25
1,1,19454281.82,26
1,1,13377629.07,27
1,1,15908313.92,28
1,1,13954872.44,29
1,1,9658713.767,30
1,1,12692840.15,31
1,1,9120890.766,32
1,1,9254566.994,33
1,1,10683452.23,34
1,1,9405693.442,35
1,1,12315005.65,36
1,1,6162938.361,37
1,1,10057287.15,38
1,1,7794970.6,39
1,1,4044097.513,40
1,1,7116849.178,41
1,1,6193572.743,42
1,1,5634898.951,43
1,1,5752346.973,44
1,1,3655784.648,45
1,1,4513891.428,46
1,1,3377615.654,47
1,1,3064783.164,48
1,1,2349370.643,49
1,1,2253449.632,50
1,1,1577062.468,51
1,1,1639104.78,52
1,1,1466181.571,53
1,1,1586018.314,54
1,1,1336853.6,55
1,1,1468988.029,56
1,1,1054717.724,57
1,1,997079.6365,58
1,1,1118812.796,59
1,1,1113377.25,60
1,1,1077758.923,61
1,1,961521.4321,62
1,1,819166.5744,63
1,1,845650.6279,64
1,1,720435.3865,65
1,1,757380.0937,66
1,1,699839.4339,67
1,1,604509.1336,68
1,1,547719.146,69
1,1,436876.9305,70
1,1,372030.4133,71
1,1,401296.9681,72
1,1,414584.7882,73
1,1,306845.4352,74
1,1,329355.8408,75
1,1,292091.0239,76
1,1,262684.0019,77
1,1,284375.6909,78
1,1,310603.9014,79
1,1,240275.4746,80
1,1,262469.8797,81
1,1,287549.3226,82
1,1,237609.0871,83
1,1,283751.6344,84
1,1,300750.4996,85
1,1,252271.179,86
1,1,283309.5894,87
1,1,270920.1058,88
1,1,192327.2766,89
1,1,185851.7953,90
2,1,5.01E+11,1
2,1,34900799415,2
2,1,18501785575,3
2,1,5823281509,4
2,1,5281516922,5
2,1,1445061432,6
2,1,1029936703,7
2,1,988906860.6,8
2,1,231376427.7,9
2,1,233907177.7,10
2,1,304983532.8,11
2,1,136507863.8,12
2,1,114133624.9,13
2,1,73687553.81,14
2,1,98832765.08,15
2,1,74319529.72,16
2,1,62086538.66,17
2,1,32013370.14,18
2,1,16267896.48,19
2,1,17404588.83,20
2,1,20859772.9,21
2,1,16133610.96,22
2,1,18399193.53,23
2,1,18281577.1,24
2,1,18304073.32,25
2,1,18544259.41,26
2,1,12999128.28,27
2,1,8312740.22,28
2,1,6262529.098,29
2,1,7228486.975,30
2,1,5243823.052,31
2,1,5212208.872,32
2,1,4640065.895,33
2,1,4142133.99,34
2,1,4144744.263,35
2,1,3461027.431,36
2,1,3755914.29,37
2,1,4279781.121,38
2,1,3647935.206,39
2,1,2878096.881,40
2,1,2126972.492,41
2,1,2533436.664,42
2,1,2171826.94,43
2,1,2292546.503,44
2,1,1602594.298,45
2,1,1696811.759,46
2,1,1527386.663,47
2,1,1429061.588,48
2,1,1361492.316,49
2,1,1352396.183,50
2,1,1262384.249,51
2,1,1302383.598,52
2,1,1094602.152,53
2,1,952975.7652,54
2,1,913313.9812,55
2,1,923908.2157,56
2,1,753100.9419,57
2,1,625401.634,58
2,1,642601.9171,59
2,1,481577.0951,60
2,1,406806.4882,61
2,1,314128.6531,62
2,1,266002.5158,63
2,1,254110.2874,64
2,1,222737.3314,65
2,1,182069.5932,66
2,1,155586.0612,67
2,1,126911.8756,68
2,1,106610.237,69
2,1,96028.04189,70
2,1,82629.18482,71
2,1,88540.62588,72
2,1,74623.41418,73
2,1,69096.90904,74
2,1,53564.0174,75
2,1,64545.90805,76
2,1,48646.65504,77
2,1,43287.41911,78
2,1,40527.04781,79
2,1,39893.2864,80
2,1,28663.10396,81
2,1,30259.9022,82
2,1,30786.70736,83
2,1,28203.64504,84
2,1,23403.59138,85
2,1,23766.49587,86
2,1,29992.64074,87
2,1,27353.66813,88
2,1,21124.53132,89
2,1,19272.2665,90
3,1,5.80E+11,1
3,1,34938410207,2
3,1,24700752356,3
3,1,7685498773,4
3,1,4230300958,5
3,1,1887995311,6
3,1,1048155298,7
3,1,735498946.8,8
3,1,560143058.6,9
3,1,195597581.9,10
3,1,222673557,11
3,1,203942898.8,12
3,1,130346401.4,13
3,1,99787961.98,14
3,1,95750766.37,15
3,1,78287154.93,16
3,1,55195730.92,17
3,1,54652471.17,18
3,1,48565006.73,19
3,1,37333877.03,20
3,1,26127257,21
3,1,20770733.12,22
3,1,16783604.21,23
3,1,15240979,24
3,1,16487419.1,25
3,1,11598926.59,26
3,1,12478345.58,27
3,1,13686041.67,28
3,1,9182082.22,29
3,1,12894928.53,30
3,1,13289752.4,31
3,1,8510750.299,32
3,1,7850190.495,33
3,1,8648027.997,34
3,1,8909656.487,35
3,1,6324323.492,36
3,1,6221539.292,37
3,1,6708697.262,38
3,1,6358679.922,39
3,1,5842202.328,40
3,1,4239047.178,41
3,1,5264767.924,42
3,1,4346405.245,43
3,1,3687147.141,44
3,1,3312941.082,45
3,1,3924471.539,46
3,1,3049048.76,47
3,1,2717591.964,48
3,1,2150274.023,49
3,1,2236319.163,50
3,1,1922189.837,51
3,1,1832957.461,52
3,1,1691490.306,53
3,1,1404766.826,54
3,1,1434590.961,55
3,1,1125444.66,56
3,1,948610.0468,57
3,1,755858.2565,58
3,1,798171.1042,59
3,1,650456.4203,60
3,1,590105.349,61
3,1,597811.2566,62
3,1,595890.6487,63
3,1,435020.5068,64
3,1,429044.0767,65
3,1,374862.7461,66
3,1,300506.0594,67
3,1,273447.3164,68
3,1,217373.7399,69
3,1,178550.2355,70
3,1,141435.4992,71
3,1,110195.1633,72
3,1,109961.231,73
3,1,93862.92746,74
3,1,70429.637,75
3,1,51679.16905,76
3,1,48570.76629,77
3,1,45410.00997,78
3,1,37377.26627,79
3,1,35415.09358,80
3,1,30272.86064,81
3,1,23945.50108,82
3,1,28154.37453,83
3,1,24757.07555,84
3,1,23968.12172,85
3,1,19709.79982,86
3,1,19575.86467,87
3,1,17525.69364,88
3,1,15546.9545,89
3,1,11190.10802,90
4,1,2.97E+11,1
4,1,20905510737,2
4,1,14103189288,3
4,1,2824865398,4
4,1,1462639945,5
4,1,1020371081,6
4,1,816313029.9,7
4,1,439685636.5,8
4,1,186565826.5,9
4,1,241559376.7,10
4,1,172705254.1,11
4,1,112413543.4,12
4,1,214191579.8,13
4,1,169919637.9,14
4,1,139412965,15
4,1,103841576.2,16
4,1,89784253.81,17
4,1,49133667.7,18
4,1,24701111.29,19
4,1,21500268.6,20
4,1,29162778,21
4,1,26596248.02,22
4,1,28466501.47,23
4,1,25645755.28,24
4,1,22473613.63,25
4,1,22212541.56,26
4,1,23142792.73,27
4,1,24473093.37,28
4,1,17273259.08,29
4,1,16598403.76,30
4,1,9615679.784,31
4,1,8176825.478,32
4,1,8848838.498,33
4,1,8436615.762,34
4,1,10256908,35
4,1,8246666.937,36
4,1,8651478.448,37
4,1,9023920.287,38
4,1,8427314.005,39
4,1,7370193.611,40
4,1,5661252.688,41
4,1,5183024.393,42
4,1,4259425.078,43
4,1,3111831.2,44
4,1,3246070.446,45
4,1,2755370.372,46
4,1,2054308.04,47
4,1,1993407.576,48
4,1,1855677.472,49
4,1,1532642.846,50
4,1,1526207.224,51
4,1,1813980.53,52
4,1,1856824.718,53
4,1,1549652.687,54
4,1,1637730.502,55
4,1,1441052.508,56
4,1,1309437.776,57
4,1,1049424.171,58
4,1,977074.8345,59
4,1,977052.0337,60
4,1,723607.015,61
4,1,755933.5709,62
4,1,539694.21,63
4,1,437494.3926,64
4,1,461813.6889,65
4,1,260821.9673,66
4,1,236829.3903,67
4,1,231701.9568,68
4,1,225572.3023,69
4,1,205888.814,70
4,1,158022.2352,71
4,1,158269.2264,72
4,1,125850.6273,73
4,1,114485.6357,74
4,1,97210.61712,75
4,1,78479.51541,76
4,1,75093.81061,77
4,1,60710.46742,78
4,1,52225.23259,79
4,1,53884.46548,80
4,1,37776.32124,81
4,1,33431.4177,82
4,1,31495.25486,83
4,1,22713.85855,84
4,1,21924.75428,85
4,1,19357.66362,86
4,1,17922.37488,87
4,1,17075.33285,88
4,1,14268.72022,89
4,1,12499.94971,90
5,1,2.83E+11,1
5,1,19403838074,2
5,1,7468154632,3
5,1,3542108113,4
5,1,1137660687,5
5,1,644026118.8,6
5,1,494054870.2,7
5,1,494118047.6,8
5,1,235651743.2,9
5,1,150194976,10
5,1,145216174.6,11
5,1,108638794.8,12
5,1,98124333.9,13
5,1,61525608.96,14
5,1,41994782.34,15
5,1,68045562.6,16
5,1,61716221.41,17
5,1,39673024.03,18
5,1,26991273.36,19
5,1,19401251.26,20
5,1,15111532.53,21
5,1,16491316.8,22
5,1,14057700.42,23
5,1,12017226.61,24
5,1,10617521.64,25
5,1,13116947.86,26
5,1,12458833.22,27
5,1,9714640.812,28
5,1,8805751.604,29
5,1,9014929.767,30
5,1,9581864.248,31
5,1,7382791.726,32
5,1,6853213.648,33
5,1,5567871.069,34
5,1,5227956.047,35
5,1,5045991.371,36
5,1,3870024.168,37
5,1,3096058.526,38
5,1,2777774.61,39
5,1,2636453.119,40
5,1,2594443.419,41
5,1,3085542.726,42
5,1,2734093.175,43
5,1,2485961.085,44
5,1,1880178.231,45
5,1,1725138.985,46
5,1,1690153.751,47
5,1,1436578.736,48
5,1,1048634.118,49
5,1,706937.8455,50
5,1,754454.4664,51
5,1,504786.1053,52
5,1,447248.7704,53
5,1,546048.9813,54
5,1,445280.989,55
5,1,482162.6024,56
5,1,459483.7622,57
5,1,356636.1883,58
5,1,344229.0166,59
5,1,311159.1742,60
5,1,314745.3307,61
5,1,222089.2016,62
5,1,177208.253,63
5,1,142554.4284,64
5,1,117857.422,65
5,1,112731.1267,66
5,1,90057.86001,67
5,1,69057.1431,68
5,1,59831.81394,69
5,1,56904.32977,70
5,1,47470.78528,71
5,1,31814.05909,72
5,1,33998.18928,73
5,1,26362.78012,74
5,1,23372.18619,75
5,1,20375.68454,76
5,1,18947.00708,77
5,1,18330.42451,78
5,1,13679.38179,79
5,1,11846.31037,80
5,1,11344.54375,81
5,1,8354.179548,82
5,1,8128.368706,83
5,1,8400.355187,84
5,1,7557.481255,85
5,1,6963.047604,86
5,1,5838.499053,87
5,1,5486.043514,88
5,1,5489.644438,89
5,1,6066.433523,90
6,1,5.19E+11,1
6,1,29507236930,2
6,1,22776970492,3
6,1,3937382038,4
6,1,3413947054,5
6,1,1477086760,6
6,1,757548214.7,7
6,1,933365931.5,8
6,1,306418890.3,9
6,1,208646727.1,10
6,1,227298617.7,11
6,1,158930227.7,12
6,1,162380130.4,13
6,1,138600286.5,14
6,1,124950890.6,15
6,1,131566986.5,16
6,1,129742953,17
6,1,82130747.94,18
6,1,77060341.23,19
6,1,78218851.88,20
6,1,41505185.5,21
6,1,29144790.1,22
6,1,15770550.88,23
6,1,13293933.99,24
6,1,13281510.03,25
6,1,16501870.51,26
6,1,20544225.15,27
6,1,19137592.27,28
6,1,16993606.49,29
6,1,18287140.03,30
6,1,14644115.46,31
6,1,11200620.93,32
6,1,12460316.75,33
6,1,10623997.53,34
6,1,10589772.88,35
6,1,10040705.99,36
6,1,6871444.666,37
6,1,5938498.653,38
6,1,3922568.808,39
6,1,4402122.938,40
6,1,4608914.408,41
6,1,3842381.097,42
6,1,2737336.269,43
6,1,2815029.121,44
6,1,2148487.025,45
6,1,2660607.577,46
6,1,2468382.079,47
6,1,2394852.641,48
6,1,2131029.409,49
6,1,1809554.274,50
6,1,1975898.926,51
6,1,2070043.337,52
6,1,1990510.761,53
6,1,2181355.68,54
6,1,1890550.459,55
6,1,1577934.964,56
6,1,1510547.096,57
6,1,1352056.852,58
6,1,913294.5298,59
6,1,698411.9566,60
6,1,763662.7678,61
6,1,620027.9303,62
6,1,659819.2887,63
6,1,657828.9208,64
6,1,735998.9559,65
6,1,791234.9465,66
6,1,813903.5557,67
6,1,722319.9537,68
6,1,837849.1782,69
6,1,821267.778,70
6,1,705512.6203,71
6,1,678173.9837,72
6,1,592879.1875,73
6,1,560871.5359,74
6,1,546882.0083,75
6,1,402901.4008,76
6,1,363630.3034,77
6,1,313419.1117,78
6,1,248585.1327,79
6,1,250368.2596,80
6,1,248591.2712,81
6,1,217292.0088,82
6,1,216941.7142,83
6,1,245679.5575,84
6,1,241470.8363,85
6,1,205543.4505,86
6,1,208142.6633,87
6,1,216875.8544,88
6,1,224650.8474,89
6,1,187782.147,90
7,1,4.39E+11,1
7,1,24196098936,2
7,1,16997057048,3
7,1,6760817172,4
7,1,3036715104,5
7,1,1208825604,6
7,1,1047885940,7
7,1,563302736.8,8
7,1,376488007.5,9
7,1,464522961,10
7,1,212568545.1,11
7,1,78989844.68,12
7,1,78569944.87,13
7,1,66416816.59,14
7,1,70678427.96,15
7,1,72487649.52,16
7,1,51132817.65,17
7,1,20538164.46,18
7,1,14280958.73,19
7,1,15326173.02,20
7,1,13445411.19,21
7,1,12922146.97,22
7,1,12303400.18,23
7,1,12809101.77,24
7,1,11234832.84,25
7,1,11038720.46,26
7,1,10772616.43,27
7,1,12392104.38,28
7,1,11054924.07,29
7,1,9247573.621,30
7,1,10596696.93,31
7,1,7427787.121,32
7,1,6795256.441,33
7,1,5095837,34
7,1,5637268.63,35
7,1,5098526.792,36
7,1,3829441.029,37
7,1,3439098.565,38
7,1,2497476.92,39
7,1,2121199.28,40
7,1,1658094.801,41
7,1,1540313.549,42
7,1,1559766.317,43
7,1,1757509.344,44
7,1,1494012.263,45
7,1,1420016.527,46
7,1,1625700.455,47
7,1,1373135.351,48
