Subject,Trial,Category,Image,Valence,Arousal,IMidx
1,1,2,flower011.png,9,8,54
1,3,3,snake019.png,5,5,82
1,7,3,snake008.png,4,7,71
1,8,2,flower003.png,7,8,46
1,10,1,face003.png,1,9,9
1,11,2,flower020.png,8,8,63
1,12,2,flower001.png,7,7,44
1,13,1,face004.png,1,8,10
1,14,1,face011.png,1,8,29
1,15,3,snake002.png,3,7,65
1,16,1,face002.png,3,6,5
1,17,3,snake017.png,7,7,80
1,19,3,snake005.png,4,8,68
1,20,2,flower010.png,8,8,53
1,22,2,flower002.png,5,5,45
1,23,3,snake018.png,2,9,81
1,24,1,face016.png,1,9,39
1,25,3,snake020.png,1,9,83
1,26,2,flower004.png,7,7,47
1,27,3,snake010.png,3,8,73
1,29,1,face006.png,1,9,12
1,30,1,face015.png,2,8,38
1,31,1,face008.png,1,9,17
1,32,3,snake003.png,1,9,66
1,33,2,flower019.png,6,6,62
1,34,3,snake015.png,1,9,78
1,35,1,face007.png,3,8,14
1,36,1,face010.png,3,8,27
1,37,1,face013.png,3,8,33
1,38,2,flower015.png,5,8,58
1,39,3,snake006.png,2,8,69
1,41,2,flower008.png,6,6,51
1,43,2,flower012.png,9,4,55
1,45,2,flower014.png,5,5,57
1,47,1,face019.png,2,8,42
1,49,1,face020.png,2,2,43
1,52,1,face009.png,1,9,18
1,53,3,snake012.png,1,9,75
1,54,3,snake014.png,1,9,77
1,55,2,flower013.png,7,7,56
1,56,2,flower006.png,9,8,49
1,57,3,snake016.png,2,8,79
1,58,2,flower017.png,6,6,60
1,60,3,snake011.png,2,8,74
1,62,2,flower009.png,6,6,52
1,63,2,flower018.png,6,6,61
1,64,2,flower007.png,6,6,50
1,65,1,face018.png,2,8,41
1,66,1,face012.png,1,9,32
1,67,1,face001.png,9,9,3
1,68,1,face005.png,1,9,11
1,69,3,snake009.png,9,9,72
1,71,3,snake007.png,3,7,70
1,72,2,flower016.png,6,6,59
1,73,1,face014.png,3,8,37
1,75,3,snake001.png,1,9,64
1,76,3,snake013.png,2,9,76
1,77,3,snake004.png,2,9,67
1,79,2,flower005.png,6,6,48
1,83,1,face017.png,3,8,40
2,1,3,snake002.png,1,7,65
2,2,1,face017.png,1,2,40
2,3,1,face002.png,2,8,5
2,4,3,snake001.png,1,9,64
2,5,2,flower018.png,9,7,61
2,10,2,flower017.png,9,4,60
2,12,3,snake011.png,2,7,74
2,13,2,flower016.png,9,6,59
2,14,3,snake010.png,1,9,73
2,15,3,snake014.png,1,9,77
2,17,2,flower015.png,9,4,58
2,18,3,snake016.png,1,9,79
2,19,1,face020.png,1,9,43
2,20,1,face015.png,1,5,38
2,25,3,snake003.png,1,9,66
2,26,1,face005.png,3,5,11
2,27,3,snake008.png,1,9,71
2,28,2,flower011.png,4,4,54
2,29,2,flower019.png,9,4,62
2,30,2,flower014.png,9,4,57
2,31,2,flower002.png,9,4,45
2,32,3,snake012.png,1,1,75
2,34,1,face009.png,1,8,18
2,35,2,flower007.png,9,4,50
2,36,3,snake006.png,1,9,69
2,37,1,face007.png,3,1,14
2,38,2,flower020.png,9,3,63
2,39,1,face008.png,1,1,17
2,40,2,flower005.png,9,3,48
2,46,2,flower003.png,8,3,46
2,47,2,flower009.png,8,4,52
2,48,2,flower004.png,8,5,47
2,49,3,snake009.png,1,8,72
2,50,1,face016.png,1,6,39
2,51,2,flower001.png,8,3,44
2,53,1,face013.png,1,1,33
2,54,1,face010.png,9,9,27
2,55,3,snake015.png,1,9,78
2,56,3,snake005.png,1,9,68
2,57,1,face012.png,2,8,32
2,58,3,snake018.png,1,9,81
2,59,1,face003.png,2,9,9
2,61,1,face004.png,1,7,10
2,62,3,snake020.png,1,9,83
2,63,2,flower006.png,9,3,49
2,64,2,flower010.png,9,2,53
2,65,2,flower013.png,9,3,56
2,66,1,face011.png,2,8,29
2,67,3,snake019.png,1,9,82
2,68,1,face006.png,1,7,12
2,70,2,flower008.png,9,5,51
2,71,3,snake007.png,1,9,70
2,72,3,snake013.png,1,9,76
2,74,1,face019.png,2,2,42
2,75,1,face018.png,5,5,41
2,76,2,flower012.png,9,9,55
2,77,3,snake004.png,1,8,67
2,79,1,face001.png,2,8,3
2,81,1,face014.png,3,8,37
2,82,3,snake017.png,1,9,80
3,1,3,snake016.png,2,9,79
3,3,1,face013.png,1,9,33
3,7,3,snake015.png,3,3,78
3,9,2,flower019.png,9,9,62
3,10,2,flower020.png,9,7,63
3,11,3,snake006.png,2,7,69
3,12,2,flower001.png,9,8,44
3,13,2,flower005.png,9,8,48
3,14,3,snake004.png,2,8,67
3,15,3,snake019.png,1,9,82
3,18,1,face015.png,7,7,38
3,21,3,snake017.png,2,8,80
3,22,1,face003.png,2,7,9
3,23,3,snake001.png,2,7,64
3,25,2,flower010.png,9,9,53
3,27,2,flower016.png,9,9,59
3,28,1,face006.png,3,3,12
3,29,1,face017.png,2,3,40
3,30,1,face005.png,3,5,11
3,32,2,flower017.png,9,9,60
3,33,1,face009.png,2,7,18
3,34,2,flower003.png,9,9,46
3,35,3,snake009.png,3,7,72
3,36,3,snake013.png,3,7,76
3,37,2,flower009.png,9,8,52
3,39,2,flower002.png,8,8,45
3,40,3,snake007.png,2,9,70
