Subject,Trial,Category,Image,Valence,Arousal,IMidx
1,47,1,face001.png,2,1,1
1,36,1,face002.png,4,4,2
1,45,1,face003.png,2,8,3
1,33,1,face004.png,2,9,4
1,58,1,face005.png,8,1,5
1,15,1,face006.png,3,2,6
1,21,1,face007.png,4,1,7
1,29,1,face008.png,2,5,8
1,10,1,face009.png,5,1,9
1,5,1,face010.png,1,5,10
1,51,1,face011.png,4,1,11
1,34,1,face012.png,1,8,12
1,40,1,face013.png,3,2,13
1,8,1,face014.png,4,5,14
1,50,1,face015.png,3,2,15
1,30,1,face016.png,6,7,16
1,14,1,face017.png,1,8,17
1,11,1,face018.png,3,2,18
1,53,1,face019.png,1,9,19
1,9,1,face020.png,4,1,20
1,42,2,flower001.png,8,2,21
1,35,2,flower002.png,8,7,22
1,43,2,flower003.png,7,1,23
1,12,2,flower004.png,8,3,24
1,16,2,flower005.png,8,7,25
1,54,2,flower006.png,5,1,26
1,7,2,flower007.png,2,6,27
1,59,2,flower008.png,9,9,28
1,52,2,flower009.png,5,1,29
1,28,2,flower010.png,6,8,30
1,1,2,flower011.png,9,9,31
1,17,2,flower012.png,3,2,32
1,44,2,flower013.png,9,8,33
1,13,2,flower014.png,9,9,34
1,37,2,flower015.png,6,6,35
1,38,2,flower016.png,9,8,36
1,26,2,flower017.png,7,7,37
1,20,2,flower018.png,5,1,38
1,46,2,flower019.png,9,9,39
1,27,2,flower020.png,2,7,40
1,22,3,snake001.png,2,7,41
1,4,3,snake002.png,1,7,42
1,48,3,snake003.png,1,9,43
1,39,3,snake004.png,1,9,44
1,56,3,snake005.png,1,9,45
1,55,3,snake006.png,3,7,46
1,60,3,snake007.png,1,8,47
1,41,3,snake008.png,1,9,48
1,2,3,snake009.png,1,8,49
1,3,3,snake010.png,1,9,50
1,25,3,snake011.png,1,8,51
1,19,3,snake012.png,1,9,52
1,32,3,snake013.png,2,7,53
1,57,3,snake014.png,3,5,54
1,31,3,snake015.png,1,9,55
1,24,3,snake016.png,3,3,56
