IMname,Category,Energy,Frequency
1,1,1.34E+11,1
1,1,15876622446,2
1,1,7807238423,3
1,1,3260427433,4
1,1,2247109466,5
1,1,1052493644,6
1,1,731965969.7,7
1,1,497498613.7,8
1,1,432083963.8,9
1,1,285020298.3,10
1,1,177058269,11
1,1,165363186.5,12
1,1,131765693.9,13
1,1,100365836.7,14
1,1,86512883.47,15
1,1,64729464.16,16
1,1,58943752.95,17
1,1,52085228.59,18
1,1,44176466.22,19
1,1,44589786.32,20
1,1,33879974.3,21
1,1,28428080.26,22
1,1,25593612.6,23
1,1,21682912.2,24
1,1,18785655.52,25
1,1,15363821.68,26
1,1,14384698.44,27
1,1,12881031.69,28
1,1,10886560.64,29
1,1,9870014.594,30
1,1,10988818.31,31
1,1,8536183.937,32
1,1,7512034.089,33
1,1,7635422.515,34
1,1,6786502.684,35
1,1,6335953.625,36
1,1,5785768.795,37
1,1,6256001.424,38
1,1,5605136.51,39
1,1,4647752.007,40
1,1,4740662.949,41
1,1,4140191.245,42
1,1,3538789.81,43
1,1,3091276.347,44
1,1,2789368.479,45
1,1,3095050.302,46
1,1,2771261.012,47
1,1,2521174.167,48
1,1,2753121.839,49
1,1,2189116.618,50
1,1,2107564.527,51
1,1,1845904.024,52
1,1,1826887.09,53
1,1,1756740.097,54
1,1,1643196.876,55
1,1,1598556.038,56
1,1,1568379.441,57
1,1,1345455.68,58
1,1,1378045.579,59
1,1,1421300.911,60
1,1,1290574.088,61
1,1,1150947.898,62
1,1,1108827.578,63
1,1,1022912.062,64
1,1,1011425.551,65
1,1,959051.723,66
1,1,918508.3952,67
1,1,859067.0685,68
1,1,823002.803,69
1,1,774409.5032,70
1,1,758519.2896,71
1,1,695069.9596,72
1,1,682703.0873,73
1,1,686533.9539,74
1,1,606094.2911,75
1,1,599032.5692,76
1,1,565438.1631,77
1,1,552620.4625,78
1,1,554820.9426,79
1,1,529564.6266,80
1,1,503414.3551,81
1,1,501472.3609,82
1,1,477527.7822,83
1,1,472935.9598,84
1,1,459949.5201,85
1,1,428406.5933,86
1,1,420439.1566,87
1,1,410421.9216,88
1,1,376482.0917,89
1,1,358306.242,90
2,1,1.35E+11,1
2,1,15241989595,2
2,1,7889355664,3
2,1,3445525222,4
2,1,2365728942,5
2,1,1083349071,6
2,1,769183791.8,7
2,1,500291349.4,8
2,1,387038696.9,9
2,1,230774842.1,10
2,1,180375922,11
2,1,138084495.6,12
2,1,130840285.9,13
2,1,99475385.13,14
2,1,80492762.25,15
2,1,65639125.19,16
2,1,52160913.18,17
2,1,46511921.11,18
2,1,41876023.31,19
2,1,33346763.91,20
2,1,30824187.94,21
2,1,29019988.32,22
2,1,22721537.97,23
2,1,18520802.4,24
2,1,16255466.54,25
2,1,15778263.05,26
2,1,15045210.98,27
2,1,12632460.06,28
2,1,11968643.94,29
2,1,10754786.44,30
2,1,9842164.534,31
2,1,8942767.643,32
2,1,8506179.103,33
2,1,7811842.056,34
2,1,6799126.733,35
2,1,6509727.666,36
2,1,5549875.371,37
2,1,5206312.005,38
2,1,4645947.791,39
2,1,4183390.901,40
2,1,3974724.208,41
2,1,3618688.351,42
2,1,3458785.222,43
2,1,3440843.777,44
2,1,3063253.094,45
2,1,2871549.971,46
2,1,2692512.494,47
2,1,2471271.108,48
2,1,2266925.35,49
2,1,2090165.376,50
2,1,1989796.621,51
2,1,1894100.35,52
2,1,1839877.916,53
2,1,1739964.781,54
2,1,1693101.238,55
2,1,1615394.199,56
2,1,1549096.287,57
2,1,1464154.666,58
2,1,1327835.268,59
2,1,1283900.161,60
2,1,1214961.036,61
2,1,1165220.817,62
2,1,1097832.655,63
2,1,1020309.661,64
2,1,967936.668,65
2,1,914794.6292,66
2,1,849814.3379,67
2,1,842391.6085,68
2,1,830730.2808,69
2,1,772370.0234,70
2,1,745337.9444,71
2,1,685635.8101,72
2,1,662033.9443,73
2,1,623377.1695,74
2,1,627248.3609,75
2,1,580913.3322,76
2,1,534183.7498,77
2,1,544883.6655,78
2,1,548080.2104,79
2,1,503653.1593,80
2,1,498657.3362,81
2,1,456290.3147,82
2,1,487341.9051,83
2,1,430838.3302,84
2,1,437397.1468,85
2,1,431563.2374,86
2,1,445461.4414,87
2,1,430514.982,88
2,1,384482.9212,89
2,1,359680.1181,90
3,1,1.35E+11,1
3,1,16723183563,2
3,1,7846876669,3
3,1,3297101717,4
3,1,2186311530,5
3,1,1124123659,6
3,1,781264338.2,7
3,1,461226386.4,8
3,1,336987298.2,9
3,1,254822324.2,10
3,1,180273784.5,11
3,1,163232338.7,12
3,1,130155939.1,13
3,1,94132443.8,14
3,1,88719599.88,15
3,1,62439720.35,16
3,1,53763240.18,17
3,1,46375895.91,18
3,1,38917303.5,19
3,1,33698632.62,20
3,1,27862336.7,21
3,1,24583903.3,22
3,1,22013449.11,23
3,1,17355512.45,24
3,1,16726487.62,25
3,1,16492445.49,26
3,1,13790198.55,27
3,1,12366269.81,28
3,1,11468955.53,29
3,1,9466245.544,30
3,1,9331689.936,31
3,1,8163789.856,32
3,1,7591851.556,33
3,1,6751611.46,34
3,1,6544540.996,35
3,1,6401718.003,36
3,1,5390234.636,37
3,1,5293136.29,38
3,1,4922736.11,39
3,1,4201287.017,40
3,1,3822584.591,41
3,1,3660317.269,42
3,1,3571376.422,43
3,1,3185890.263,44
3,1,2890049.397,45
3,1,3105168.174,46
3,1,2637616.174,47
3,1,2362286.866,48
3,1,2106936.678,49
3,1,2132263.06,50
3,1,2149673.219,51
3,1,1948307.831,52
3,1,2005340.61,53
3,1,1763464.993,54
3,1,1707678.522,55
3,1,1639957.794,56
3,1,1602542.475,57
3,1,1466689.932,58
3,1,1434667.807,59
3,1,1329511.522,60
3,1,1213691.2,61
3,1,1140850.656,62
3,1,1096976.039,63
3,1,1059923.626,64
3,1,1027703.925,65
3,1,973085.9816,66
3,1,889095.0539,67
3,1,885289.8308,68
3,1,800754.2656,69
3,1,794340.4435,70
3,1,728674.592,71
3,1,716585.7316,72
3,1,667762.1618,73
3,1,637351.3489,74
3,1,608874.5026,75
3,1,583422.5085,76
3,1,544432.5114,77
3,1,553658.5286,78
3,1,499027.4147,79
3,1,482377.7552,80
3,1,489392.8681,81
3,1,476350.0787,82
3,1,446114.7378,83
3,1,429322.726,84
3,1,410676.0279,85
3,1,400544.3264,86
3,1,385103.8069,87
3,1,387957.3095,88
3,1,383501.1482,89
3,1,332905.7913,90
4,1,1.35E+11,1
4,1,15009209936,2
4,1,8445643577,3
4,1,3430953633,4
4,1,1978136047,5
4,1,1072968333,6
4,1,854421942.8,7
4,1,566424134.5,8
4,1,348789274.8,9
4,1,270969343.5,10
4,1,174898784.2,11
4,1,147787800.2,12
4,1,128494233.4,13
4,1,98957063.57,14
4,1,79657322.11,15
4,1,62171336.02,16
4,1,53055095.6,17
4,1,51339251.33,18
4,1,42940282.77,19
4,1,33246555.99,20
4,1,26822964.75,21
4,1,23913350.37,22
4,1,19883959.44,23
4,1,18842284.04,24
4,1,19000332.75,25
4,1,15111695.3,26
4,1,15152071.02,27
4,1,12656710.42,28
4,1,10957215.19,29
4,1,9353377.081,30
4,1,8751295.151,31
4,1,8673381.87,32
4,1,7522330.586,33
4,1,6949903.339,34
4,1,6292872.683,35
4,1,5672330.953,36
4,1,4961408.089,37
4,1,4918265.429,38
4,1,4280254.456,39
4,1,4165478.176,40
4,1,3699088.883,41
4,1,3646171.82,42
4,1,3499759.464,43
4,1,3167673.29,44
4,1,2895517.6,45
4,1,2974004.407,46
4,1,2828597.246,47
4,1,2398356.195,48
4,1,2235750.514,49
4,1,2144144.608,50
4,1,2119361.696,51
4,1,1933116.024,52
4,1,1805357.526,53
4,1,1653626.519,54
4,1,1610769.01,55
4,1,1518269.85,56
4,1,1439187.359,57
4,1,1372697.69,58
4,1,1293455.113,59
4,1,1296131.044,60
4,1,1204515.846,61
4,1,1189275.308,62
4,1,1084117.022,63
4,1,1042468.083,64
4,1,948855.6014,65
4,1,934650.6252,66
4,1,862507.2295,67
4,1,821959.6369,68
4,1,779612.1293,69
4,1,780725.5937,70
4,1,722674.5638,71
4,1,654589.9978,72
4,1,667757.6086,73
4,1,667240.4348,74
4,1,625179.6052,75
4,1,577680.2535,76
4,1,548069.8232,77
4,1,529363.0586,78
4,1,505401.2873,79
4,1,492558.5424,80
4,1,485144.6915,81
4,1,450891.8591,82
4,1,432306.7632,83
4,1,415438.6512,84
4,1,397411.9654,85
4,1,398010.6176,86
4,1,385695.418,87
4,1,381772.2411,88
4,1,369502.7559,89
4,1,321235.1645,90
5,1,1.29E+11,1
5,1,16712942537,2
5,1,7397149479,3
5,1,4465538758,4
5,1,2185896063,5
5,1,1188695841,6
5,1,774475735.7,7
5,1,565168540.4,8
5,1,359618658.3,9
5,1,265775464.7,10
5,1,187104521.4,11
5,1,155369492.5,12
5,1,124294742.5,13
5,1,97823494.51,14
5,1,81908123.71,15
5,1,63465610.18,16
5,1,53896777.17,17
5,1,51835967.07,18
5,1,39525048.3,19
5,1,42770216.06,20
5,1,29459465.47,21
5,1,26931132.73,22
5,1,22455212.74,23
5,1,19278781.89,24
5,1,17976621.92,25
5,1,14946952.91,26
5,1,13398799.43,27
5,1,13540237.39,28
5,1,10621365.92,29
5,1,10096811.98,30
5,1,9705361.024,31
5,1,8908787.983,32
5,1,8356385.255,33
5,1,7702154.061,34
5,1,7183910.589,35
5,1,6826202.116,36
5,1,5791800.803,37
5,1,5849427.894,38
5,1,4713257.584,39
5,1,4450063.342,40
5,1,4127152.353,41
5,1,3930745.335,42
5,1,3416730.977,43
5,1,3331199.639,44
5,1,2884163.633,45
5,1,2903960.411,46
5,1,2653272.991,47
5,1,2794495.272,48
5,1,2518640.991,49
5,1,2353862.72,50
5,1,2199648.944,51
5,1,1969241.242,52
5,1,1736391.437,53
5,1,1654078.208,54
5,1,1615168.504,55
5,1,1632123.156,56
5,1,1484774.101,57
5,1,1438290.428,58
5,1,1298154.908,59
5,1,1283715.186,60
5,1,1293097.026,61
5,1,1206584.388,62
5,1,1173820.389,63
